twitter14,IRS14,IRS14exempt
2040,13159,18465
1480,8488,12284
1085,16554,28931
1078,19238,35528
820,7195,10903
767,5373,8011
608,8264,12087
601,2392,3115
590,6832,9279
515,11245,23634
515,10744,19270
470,15819,29394
457,1790,2207
450,8183,14262
441,5429,7806
438,15750,35602
427,8638,15119
383,5945,11184
368,10048,18861
363,10538,20780
359,8750,16107
357,3099,4095
354,3934,7336
342,5139,8309
333,7245,13321
328,2798,3501
327,9474,16575
324,8383,16555
322,3681,5749
320,6679,13274
316,5334,8986
313,5285,8502
311,4908,8445
305,8603,15710
298,6396,11243
297,4469,7841
286,2679,3943
282,10053,19692
277,1851,2601
275,9650,19660
275,9230,19877
264,6706,12748
262,4918,8944
260,6562,11784
259,4999,9808
257,7663,14881
253,3531,5422
248,2234,3008
247,2787,5350
247,5205,8681
242,2894,3876
241,4071,5825
240,5101,8362
238,12948,29334
233,4453,7665
233,7306,14134
233,1774,2536
227,11178,21698
225,5643,11435
224,4845,9177
216,1823,2273
213,1888,2349
212,6151,10724
209,8207,16400
208,4600,8326
207,2377,3503
205,1939,2765
204,2231,2591
202,9613,21605
200,1484,2049
200,6757,11099
199,3157,5903
198,2950,5021
197,2979,5330
195,1273,1769
194,1399,2027
194,6591,11913
191,3950,6084
189,5412,10020
186,8639,15502
185,8408,18641
182,5640,9746
181,6878,12578
181,2815,5592
180,8967,17212
179,11611,21293
179,1376,1656
176,7254,16242
174,903,1318
174,931,1070
172,826,998
172,5048,9286
166,1583,2925
163,2703,4241
162,7727,13782
159,622,858
156,3199,6029
155,1297,2152
154,7324,14044
153,3787,6627
152,9061,16214
152,1555,1999
150,1969,3544
149,3477,6032
145,3753,7145
145,3069,4984
144,3112,5948
144,3470,6253
143,3381,5993
143,762,1085
143,728,872
143,1156,1797
143,3787,7076
143,5456,9293
143,7318,12689
142,3173,5386
141,8458,15755
141,2142,3812
140,3768,6202
140,4194,8017
140,3924,7882
140,6220,12382
139,5395,9651
138,3275,6392
137,7107,14066
137,1931,3241
137,1608,2437
135,1933,2982
135,4020,6337
134,5374,9461
133,5104,10399
132,2627,4387
128,4572,9149
127,3494,6060
127,1027,1278
127,7733,16207
125,3826,7676
125,4468,7849
124,4423,7032
122,1956,3361
122,5697,9393
122,1845,3490
120,525,790
118,3819,6508
118,1136,1669
117,676,868
117,1814,2868
117,2308,4940
116,2081,3317
116,4598,7867
116,6412,13260
115,5495,11916
113,2132,3825
113,429,532
113,2229,3538
112,4080,7320
112,1010,1650
111,2608,4961
111,836,1602
111,4555,9050
110,755,1223
110,2135,3708
110,2464,4232
109,5433,10947
109,1630,2380
109,3565,5808
109,2840,5213
108,2988,5157
108,4401,8720
108,5029,8804
107,1939,3355
107,3083,6610
107,3426,6584
107,3281,7261
106,3414,6322
105,991,1267
105,1245,1991
105,3032,6275
105,2085,3553
104,1622,2385
104,2701,4669
103,1415,1895
103,3003,6173
103,5220,9495
103,1900,3109
102,3140,4935
102,3391,5119
102,727,893
101,2681,4524
100,3460,6706
100,3330,7326
100,680,834
99,5992,12194
99,598,1113
99,7958,17399
98,2937,6072
98,2420,4294
97,3651,7550
96,564,717
96,2890,5293
96,1032,1492
95,4972,8216
94,5352,10449
94,3155,5719
94,486,653
94,4020,7605
94,1096,1738
94,2729,5136
93,4252,8057
93,2304,4313
92,1479,1970
92,3073,5539
91,276,445
91,4240,8434
91,1432,2225
90,963,1444
90,1324,2385
88,2566,4380
87,2974,5752
86,1667,2612
86,2202,4187
86,2467,4473
86,3045,5421
86,5657,12296
85,3466,6488
85,920,1571
84,3735,6884
84,1799,3140
84,5508,9423
84,4410,8627
82,3336,6239
82,3006,5508
82,2612,5083
82,2460,4453
81,903,1572
81,416,698
81,3265,6118
81,2424,4534
81,3318,6395
80,3405,5455
80,1437,2641
79,1347,2253
79,1307,2284
79,2607,4406
79,632,1033
79,1572,2578
79,2773,5482
79,2127,3338
79,1991,3666
78,2746,5095
78,1528,2735
78,470,604
78,764,1013
78,5029,11076
77,0,0
76,3006,4270
76,3062,6271
76,2528,4849
76,845,1388
76,2437,4879
75,2194,3533
74,2601,5150
74,2373,4372
74,3376,6023
73,432,740
73,1538,2549
73,5014,10568
73,2098,4195
72,4700,8699
72,1733,2828
72,1543,2671
72,792,939
72,4271,8624
71,877,1202
71,1254,2249
71,2199,3779
71,3957,7578
71,1821,3009
71,3332,6484
71,909,1632
70,3927,8030
70,914,1244
70,1952,3728
70,3011,5382
70,1771,2835
70,1315,1651
70,2962,5673
70,1436,2694
69,1812,3237
69,1793,2889
69,3682,6289
69,271,446
69,287,461
68,3041,5821
68,2424,4199
68,782,1261
68,0,0
68,1858,3578
67,0,0
67,3220,6330
67,3530,7486
66,366,474
66,1848,2808
66,2973,7380
66,1631,3218
66,3326,7266
66,1020,1589
66,273,455
65,1830,3218
65,197,308
65,3859,8318
65,785,1169
65,1292,2218
64,1725,2985
64,4190,8675
64,375,487
64,414,612
64,1364,2558
64,1740,2864
64,630,837
64,1648,2874
63,1245,1997
63,3526,5623
63,3810,7594
63,1335,2341
63,2307,5330
62,1621,2956
62,2641,5225
62,1218,2166
62,1768,3062
61,802,1235
61,909,1154
60,461,898
60,553,811
60,1813,2947
59,3665,8316
59,117,147
59,1454,2499
59,399,590
59,691,923
59,1480,2565
59,2069,4419
59,719,993
59,1424,2664
58,3316,5662
58,592,1148
58,2075,3545
58,2325,4120
58,1247,2209
58,2063,3580
58,2557,4782
58,2061,3973
58,2279,4604
58,3711,6958
58,608,740
57,1574,2466
57,1758,2871
57,1794,3191
57,2439,4252
56,815,1459
56,746,1143
56,715,854
56,1303,2066
56,2039,3823
56,326,425
56,313,546
55,1606,3007
55,2634,4921
55,222,293
55,5695,12642
55,372,495
55,870,1558
55,2491,5014
55,1235,2527
55,1302,2782
55,1819,3358
55,374,548
54,2484,5768
54,1010,1630
54,2051,4425
54,607,884
54,1764,2868
53,810,1347
53,1591,3197
53,396,505
53,1787,3237
53,187,288
53,315,512
53,2011,4002
53,363,597
53,2045,4195
53,1812,3505
53,2057,3385
52,584,746
52,169,229
52,1343,2348
52,341,592
52,1908,3505
